0.02	20
0.04	26
0.06	34
0.08	38
0.10	42
0.12	44
0.14	48
0.16	50
0.18	54
0.20	56
0.22	58
0.24	60
0.26	62
0.28	64
0.30	66
0.32	68
0.34	70
0.36	72.31
0.38	74.62
0.40	76.92
0.42	79.23
0.44	81.54
0.46	83.85
0.48	86.15
0.50	88.46
0.54	90.77
0.56	93.08
0.58	95.38
0.62	97.69
0.66	100
0.76	110
0.86	120
0.92	130
0.99	140
1.04	150
1.08	160
1.12	170
1.15	180
1.19	190
1.21	200
1.24	210
1.26	220
1.27	230
1.29	240
1.30	250
1.31	260
1.32	270
1.33	280
1.34	290
1.35	300
1.41	400
1.48	600	
1.54	850
1.58	1100
1.62	2500
1.70	4000
1.80	8500
1.90	15000
2.05	35000
2.10	75000
2.11	100000
